year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,nperps,nperpcap,weaptype1,weapsubtype1,nkill,nwound,nkillter,nwoundte
1983,7,1,Aleppo,Aleppo,36.212989,37.142588,Assassination,Military,Syria,Muslim Brotherhood,NA,NA,Firearms,Handgun,1,0,NA,NA
1984,2,14,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (Diplomatic),Iran,May 15 Organization for the Liberation of Palestine,NA,NA,Explosives/Bombs/Dynamite,Letter Bomb,0,1,NA,NA
1985,7,31,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Journalists & Media,Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,30,30,NA,NA
1986,6,2,Aleppo,Aleppo,36.212989,37.142588,Assassination,Terrorists/Non-State Militia,West Bank and Gaza Strip,Unknown,NA,NA,Explosives/Bombs/Dynamite,Grenade,1,0,NA,NA
1986,6,4,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Business,Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1986,7,9,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Unknown,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,7,0,NA,NA
1986,9,9,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,8,NA,NA
1989,1,18,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1996,5,9,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Turkey,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1996,12,31,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Transportation,Syria,Islamic Movement for Change,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,15,50,NA,NA
1997,5,30,Quneitra,Golan Heights district,33.181493,35.933529,Armed Assault,Government (Diplomatic),Austria,Unknown,NA,NA,Firearms,Unknown Gun Type,2,0,NA,NA
1998,10,10,Ar Raqqah,Tell Abiad,36.695713,38.952147,Bombing/Explosion,Military,Syria,Kurdistan Workers' Party (PKK),NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
2004,4,27,Damascus,Damascus,33.512753,36.295873,Bombing/Explosion,Government (Diplomatic),International,Unknown,4,2,Explosives/Bombs/Dynamite,Vehicle,4,2,2,2
2006,9,12,Damascus,Damascus,33.512753,36.295873,Bombing/Explosion,Government (Diplomatic),United States,Unknown,4,0,Explosives/Bombs/Dynamite,Vehicle,5,0,4,0
2008,9,27,Damascus,Damascus,33.512753,36.295873,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,Vehicle,18,14,1,0
2011,4,5,Damascus,Kafr Batna,33.514411,36.374433,Armed Assault,Police,Syria,Unknown,NA,0,Firearms,Unknown Gun Type,2,0,0,0
2011,5,6,Homs,Homs,34.709034,36.687609,Armed Assault,Military,Syria,Unknown,NA,0,Firearms,Unknown Gun Type,5,0,0,0
2011,5,6,Homs,Homs,34.727926,36.711964,Armed Assault,Military,Syria,Unknown,NA,0,Firearms,Unknown Gun Type,10,NA,0,0
2011,5,8,Homs,Homs,34.727926,36.711964,Armed Assault,Transportation,Syria,Unknown,NA,0,Firearms,Unknown Gun Type,10,3,0,0
