year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
2007,6,7,Al Anbar,Abu Ghraib,33.291944,44.065556,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,3,0,1,4,0,0
2007,6,7,Kirkuk,Kirkuk,35.46883,44.39098,Armed Assault,Government (General),Iraq,Unknown,Firearms,Automatic Weapon,0,0,0,1,0,0
2007,6,7,Arbil,Dore,36.905833,44.138611,Armed Assault,Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,1,0,0
2007,6,7,Diyala,Safra,34.324722,44.726667,Armed Assault,Military,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,0,0,0
2007,6,7,Basra,Basra,30.5,47.816667,Armed Assault,Business,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,3,0,0
2007,6,7,Al Anbar,Ramadi,33.431899,43.311566,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,5,0,1,4,0,0
2007,6,7,Baghdad,Baghdad,33.3,44.4,Assassination,Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,7,Kirkuk,Kirkuk,35.46883,44.39098,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,3,0,0
2007,6,7,Nineveh,Rabiaa,36.806417,42.092125,Bombing/Explosion,Business,Great Britain,Unknown,Explosives/Bombs/Dynamite,Vehicle,5,0,2,11,0,0
2007,6,7,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Military,United States,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,2,0,0
2007,6,7,Saladin,Samarra,34.192537,43.886423,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2007,6,8,Diyala,Kan'an,33.693119,44.794692,Hostage Taking (Kidnapping),Police,Iraq,Al-Qaida in Iraq,Firearms,Automatic Weapon,15,0,0,0,0,0
2007,6,8,Kirkuk,Dakok,35.46979,44.396337,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),10,0,0,10,0,0
